Year,Region,FuelType,Mileage,Price,Marca,Name
2018,Arabkir,Gasoline,22396,12000,Mercedes-Benz,GLA-Class
2015,Aghveran,Gasoline,140000,3000,Hyundai,Sonata
1996,Margahovit,Gasoline,96000,27000,UAZ,(УАЗ) 31514 wagon
2020,Ajapnyak,Gasoline,23400,9300,Toyota,C-HR
2003,Shengavit,Gasoline,235877,13000,Mitsubishi,Grandis
2023,Kentron,Gasoline,530,4000,VAZ,(Lada) Niva Legend
1998,Davtashen,Gasoline,240000,2500,Mitsubishi,Pajero IO
1997,Kanaker-Zeytun,Gasoline,250000,34500,Volkswagen,Golf hatchback
2018,Kentron,Hybrid,54500,58000,BMW,5 Series
2019,Kentron,Gasoline,80000,70000,Land,Rover Range Rover Velar
2021,Russia,Gasoline,60000,6000,Mercedes-Benz,S-Class
2000,Gyumri,Gasoline,250000,10500,Mercedes-Benz,E-Class
2006,Kentron,Gasoline,210000,22000,Jeep,Commander
2017,Malatia-Sebastia,Gasoline,97000,25000,BMW,5 Series wagon
2019,Malatia-Sebastia,Gasoline,57000,28000,Land,Rover Discovery Sport
2007,Ashtarak,Gasoline,196000,19500,Mercedes-Benz,G-Class
2017,Erebuni,Gasoline,72000,31000,BMW,X3
2010,Erebuni,Gasoline,95000,6500,Lexus,GX
2008,Arabkir,Gasoline,209000,8500,Subaru,Legacy
2014,Erebuni,Hybrid,159000,29000,Chevrolet,Volt hatchback
2019,Ashtarak,Gasoline,64000,4700,Jeep,Grand Cherokee
1997,Yeghvard,Gasoline,20000,12900,Mercedes-Benz,E-Class
2017,Abovian,Gasoline,134000,8500,Ford,Fusion (North America)
2012,Armavir,Hybrid,162000,32500,Chevrolet,Volt hatchback
2018,Armavir,Gasoline,94000,19000,Nissan,Murano
2018,Armavir,Gasoline,66919,9900,Dodge,Journey
2008,Kentron,Gasoline,198000,13000,BMW,5 Series
2014,Davtashen,Gasoline,110000,16000,Ford,Fusion (North America)
2019,Armavir,Gasoline,57000,18700,Dodge,Journey
2021,Masis,Gasoline,32200,12000,Mazda,CX-3
2022,Artashat,Gasoline,20000,2300,VAZ,(Lada) Niva Legend
1995,Malatia-Sebastia,Gasoline,400000,36000,Mercedes-Benz,C-Class
2022,Shengavit,Gasoline,5300,7600,Hyundai,Tucson
2004,Erebuni,Gasoline,160000,8000,Honda,Elysion
2019,Gyumri,Gasoline,14000,5500,Kia,Stinger
1994,Artashat,Gasoline,290000,24500,Mercedes-Benz,S-Class
2022,Shengavit,Electric,55000,11990,Tesla,Model Y
2015,Gyumri,Gasoline,100000,17800,Chrysler,200
2021,Ajapnyak,Gasoline,50000,11500,Mazda,3
2012,Ijevan,Gasoline,135000,5500,Kia,Optima
1999,Kapan,Gasoline,260000,15500,Mitsubishi,Pajero IO
2018,Argavand,Gasoline,35000,19000,BMW,3 Series
2002,Parakar,Gasoline,89000,5200,Lexus,RX
1996,Maralik,Gasoline,243000,3950,Mercedes-Benz,C-Class
2007,On the way,Gasoline,149500,4000,Lexus,IS
2002,Artashat,Diesel,33000,2000,Opel,Combo
1998,Hrazdan,Gasoline,120000,23000,VAZ,(Lada) 21099
2012,Nor Nork,Gasoline,171000,9500,Mercedes-Benz,S-Class
2003,Ajapnyak,Gasoline,314000,12000,Mercedes-Benz,E-Class
2005,Kanaker-Zeytun,Gasoline,237000,4000,Toyota,Alphard
2002,Ajapnyak,Gasoline,350000,4200,Mazda,6
2000,Arabkir,Gasoline,500000,17500,Opel,Astra hatchback
2020,Sevan,Gasoline,34000,5500,Nissan,Rogue
2008,Kanaker-Zeytun,Gasoline,147000,15000,Nissan,Tiida hatchback
2004,Armavir,Diesel,350076,3400,Toyota,Land Cruiser Prado
1998,Artashat,Gasoline,400000,16900,Opel,Astra
2019,Erebuni,Gasoline,33000,12700,Kia,Forte
2014,Charentsavan,Gasoline,118000,2500,Toyota,Camry
1998,Armavir,Gasoline,400000,9500,Opel,Omega
2017,Ararat,Gasoline,91000,120000,Ford,Focus
2020,Agarak,Gasoline,35000,6300,Land,Rover Range Rover
1998,Nor Nork,Gasoline,290000,5800,Mercedes-Benz,E-Class
2000,Shengavit,Gasoline,212444,6700,Mercedes-Benz,CLK-Class coupe
2013,Nor Kharberd,Gasoline,127000,29500,Ford,Focus
2014,Ararat,Gasoline,72000,3700,Toyota,Highlander
1994,Shengavit,Gasoline,50000,20500,BMW,3 Series
2018,Nor Nork,Gasoline,27000,22000,Honda,Accord
2017,Kentron,Gasoline,77770,65000,Infiniti,Q60 coupe
2014,Nor Nork,Gasoline,140000,7100,Lexus,LX
2007,Nor Nork,Gasoline,200000,3500,Nissan,Murano
1999,Sevan,Gasoline,165000,20000,GAZ,(ГАЗ) ГАЗель
2020,Avan,Gasoline,40000,40300,Honda,Civic hatchback
2023,Erebuni,Hybrid,9300,12200,Kia,Sportage
2013,Kentron,Gasoline,210000,12000,BMW,5 Series
2011,Erebuni,Gasoline,130000,21000,Kia,K5
2021,Erebuni,Gasoline,40000,21000,Kia,Seltos
2004,Malatia-Sebastia,Gasoline,125000,10400,Lexus,GX
2013,Shengavit,Hybrid,160000,8500,Chevrolet,Volt
2008,Malatia-Sebastia,Gasoline,163000,16300,Mazda,CX-7
2017,Kentron,Gasoline,51000,16500,Nissan,Pathfinder
2020,Kentron,Gasoline,70000,3800,Nissan,Altima
2002,Alaverdi,Gasoline,280000,10700,Audi,A4
2016,Malatia-Sebastia,Gasoline,80000,24500,Hyundai,Elantra hatchback
2018,Nor Nork,Gasoline,77000,34000,Kia,Stinger
2022,Sevan,Gasoline,35000,1000,Hyundai,Tucson
1994,Artashat,Gasoline,598905,7200,Volkswagen,Golf hatchback
2011,Gyumri,Gasoline,150000,9500,Ford,Fiesta
2010,Shengavit,Gasoline,230000,7700,Nissan,Teana
2004,Gyumri,Gasoline,262000,25000,Mercedes-Benz,C-Class
2008,Artik,Gasoline,147000,9500,VAZ,(Lada) 2107
2002,Gyumri,Gasoline,30000,2000,Lexus,RX
1987,Vanadzor,Gasoline,1000,2000,UAZ,(УАЗ) 31512 hatchback
1998,Dilijan,Gasoline,111000,2500,Volkswagen,Golf hatchback
2007,Vanadzor,Gasoline,210000,2500,VAZ,(Lada) 2114 hatchback
2008,Gyumri,Gasoline,150008,11400,VAZ,(Lada) 2115
2004,Malatia-Sebastia,Gasoline,170000,4800,Mercedes-Benz,E-Class
2000,Gyumri,Gasoline,178000,7200,Mitsubishi,Pajero IO
2005,Gyumri,Gasoline,200000,19000,Mercedes-Benz,C-Class
2017,Malatia-Sebastia,Gasoline,36000,26500,Infiniti,QX50
2017,Arabkir,Gasoline,76000,35500,Mercedes-Benz,GLC-Class
2018,Arabkir,Gasoline,82000,74000,Mercedes-Benz,GLE-Class
2019,Malatia-Sebastia,Gasoline,26000,3000,Land,Rover Range Rover Sport
1991,Meghri,Gasoline,350000,32000,BMW,3 Series
2019,Malatia-Sebastia,Gasoline,23000,20700,Toyota,RAV4
2010,Abovian,Gasoline,270000,13800,Mercedes-Benz,S-Class
2017,Erebuni,Gasoline,95000,2000,Mazda,6
1996,Artik,Gasoline,290000,16000,Volkswagen,Vento
2018,Malatia-Sebastia,Gasoline,96000,8000,Mazda,6
1998,Kentron,Gasoline,116020,6700,Land,Rover Range Rover
2002,Kentron,Gasoline,48158,7000,Opel,Zafira
2005,Berd,Gasoline,280000,18000,Nissan,X-Trail
2021,Avan,Gasoline,8000,12300,Mazda,3 hatchback
2017,Kentron,Gasoline,127000,2500,Kia,Forte
2005,Vanadzor,Gasoline,230000,16500,VAZ,(Lada) 2115
2001,Berd,Diesel,350000,9500,Mercedes-Benz,Sprinter
2016,Ajapnyak,Gasoline,46000,8000,Chevrolet,Cruze
2013,Erebuni,Gasoline,182000,13800,Hyundai,Sonata
2018,Kanaker-Zeytun,Gasoline,110000,35500,Kia,Optima
2022,Kanaker-Zeytun,Gasoline,7700,16000,Mazda,CX-5
2016,Arabkir,Gasoline,80000,15300,Volvo,S60
2019,Vanadzor,Gasoline,47000,11300,Kia,Forte
2016,Avan,Gasoline,62000,21000,Nissan,Altima
2019,Kentron,Gasoline,42000,8400,Honda,Accord
2014,Malatia-Sebastia,Gasoline,71000,3500,Chevrolet,Niva
1998,Nor Nork,Gasoline,210000,6000,Volkswagen,Vento
1998,Nor Nork,Gasoline,180000,10000,Volkswagen,Passat
2005,Malatia-Sebastia,Gasoline,144444,3000,BMW,3 Series
1994,Abovian,Gasoline,300000,13900,BMW,5 Series
2016,Erebuni,Gasoline,38500,17500,Chrysler,200
2018,Artik,Gasoline,170000,8700,Ford,Transit Connect
2004,Gavar,Gasoline,182000,32500,Mercedes-Benz,C-Class
2021,Armavir,Gasoline,37000,45000,Toyota,Camry
2009,Artik,Gasoline,185000,26500,Mercedes-Benz,G-Class
2018,Nor Nork,Gasoline,70000,15300,Hyundai,Tucson
2017,Malatia-Sebastia,Gasoline,59000,8800,BMW,3 Series
2012,Nor Nork,Hybrid,150000,13500,Chevrolet,Volt hatchback
2015,Erebuni,Gasoline,105000,3000,Kia,Sportage
1995,Abovian,Gasoline,553000,29800,Mercedes-Benz,C-Class
2018,Malatia-Sebastia,Gasoline,69000,11500,BMW,X4
2021,Kapan,Gasoline,55000,8100,VAZ,(Lada) Niva Legend
2009,Shengavit,Gasoline,129000,8000,Infiniti,G37 coupe
2008,Charentsavan,Gasoline,340000,7500,Hyundai,Tucson
2013,Armavir,Hybrid,150000,12700,Chevrolet,Volt
2017,Armavir,Gasoline,128500,3300,Hyundai,Elantra
1994,Gyumri,Gasoline,412000,7300,Toyota,Carina E
2011,Malatia-Sebastia,Hybrid,240000,8000,Chevrolet,Volt hatchback
2003,Shengavit,Gasoline,200000,8500,Infiniti,FX35
2012,Malatia-Sebastia,Hybrid,250000,26500,Chevrolet,Volt hatchback
2009,Russia,Gasoline,83000,35000,Infiniti,FX35
2020,Kanaker-Zeytun,Gasoline,46500,15000,BMW,X1
2016,Erebuni,Gasoline,190000,15300,Toyota,Camry
2021,Gyumri,Gasoline,29000,15800,Kia,Forte
2007,Arabkir,Gasoline,58000,8200,Mercedes-Benz,E-Class
2010,Avan,Gasoline,130000,30000,Mazda,6
2020,Avan,Gasoline,29500,22500,Acura,RDX
2018,Avan,Gasoline,58000,2000,Toyota,C-HR
1996,Spitak,Gasoline,300000,4500,Opel,Vectra
1997,Malatia-Sebastia,Gasoline,250000,45000,Mercedes-Benz,C-Class
2003,Abovian,Gasoline,260000,7500,Mercedes-Benz,G-Class
2006,Davtashen,Gasoline,234000,10000,Nissan,X-Trail
2012,Vedi,Gasoline,146000,13500,Chrysler,300C
2014,Kentron,Gasoline,162000,2000,Mazda,CX-5
1994,Nor Nork,Gasoline,390000,26500,Opel,Corsa hatchback
2020,Hrazdan,Gasoline,85000,7000,Toyota,Camry
2001,Garni,Gasoline,258000,3300,Lexus,RX
2009,Abovian,Gasoline,130000,2000,Mitsubishi,Lancer
1996,Ajapnyak,Gasoline,300000,12500,Opel,Vectra
2018,Shengavit,Gasoline,29000,3500,Hyundai,Elantra
2000,Arabkir,Gasoline,285000,9700,Toyota,Vitz hatchback
2010,Ajapnyak,Gasoline,193000,5000,Toyota,Camry
1999,Nor Nork,Gasoline,295000,16000,Mercedes-Benz,C-Class
2018,Noyemberyan,Gasoline,148000,6700,Nissan,Rogue
2006,Kentron,Gasoline,145100,13900,Mercedes-Benz,B-Class hatchback
2017,Ashtarak,Gasoline,95000,3400,Ford,Escape
1995,Gyumri,Gasoline,430000,1000,Mercedes-Benz,C-Class
2015,Masis,Gasoline,197000,8500,Dodge,Dart
2004,Nor Nork,Gasoline,241357,25000,BMW,X3
2021,Nor Nork,Gasoline,30500,15000,Ford,Bronco Sport
2020,Armavir,Gasoline,75500,2300,Nissan,Sentra
1997,Shengavit,Gasoline,350000,27500,Opel,Vectra
2020,Malatia-Sebastia,Gasoline,50870,9500,Honda,Accord
2012,Nor Nork,Gasoline,142000,3900,Hyundai,Elantra
1999,Echmiadzin,Gasoline,234800,6400,Opel,Astra hatchback
2001,Echmiadzin,Gasoline,235000,5500,Opel,Astra
1995,Shengavit,Gasoline,300000,6700,Mercedes-Benz,S-Class
2012,Echmiadzin,Hybrid,250000,13000,Chevrolet,Volt
2017,Davtashen,Hybrid,90000,6300,Ford,Fusion (North America)
2007,Masis,Gasoline,315000,20500,Volkswagen,Golf hatchback
2013,Kentron,Gasoline,127000,6100,Land,Rover Range Rover Evoque
2004,Masis,Gasoline,167000,14200,Nissan,Skyline
2016,Kanaker-Zeytun,Hybrid,80500,4500,Chevrolet,Volt hatchback
1998,Kanaker-Zeytun,Gasoline,235000,8500,Opel,Vectra wagon
2003,Ijevan,Gasoline,130000,4000,BMW,3 Series
2001,Metsamor,Gasoline,270000,14500,Opel,Astra hatchback
2020,Avan,Gasoline,60000,18400,Nissan,Sentra
2017,Avan,Gasoline,32000,11000,Toyota,Corolla
2010,Artashat,Gasoline,130000,14200,Toyota,Camry
2018,Nor Nork,Gasoline,114000,10500,Nissan,Rogue
2007,Kentron,Gasoline,140000,38000,Honda,Elysion
2019,Avan,Gasoline,24000,10000,Mercedes-Benz,GLE-Class
2013,Nor Nork,Gasoline,120,5500,Kia,Forte
1999,Vanadzor,Gasoline,27000,6000,Opel,Sintra
2004,Arabkir,Gasoline,120000,2600,Mitsubishi,Grandis
2011,Vanadzor,Gasoline,235000,3600,Daewoo,Nexia
2000,Gyumri,Gasoline,500000,16500,Opel,Astra wagon
2017,Avan,Gasoline,131000,37000,Toyota,Corolla
2017,Shengavit,Gasoline,116000,13500,BMW,X5
2018,Kentron,Gasoline,88599,33000,Chevrolet,Malibu
2022,Parakar,Gasoline,4000,3300,Kia,K5
2007,Vedi,Gasoline,100000,8900,VAZ,(Lada) 2107
2012,Malatia-Sebastia,Gasoline,130000,6500,Kia,Forte coupe
2008,Erebuni,Gasoline,130000,7400,Dodge,Caliber hatchback
2009,Davtashen,Gasoline,80000,11000,Nissan,Versa hatchback
2012,Nor Nork,Gasoline,96000,20600,Nissan,Murano
2006,Dilijan,Gasoline,165000,19000,Lexus,GX
2011,Shengavit,Gasoline,95000,18500,BMW,5 Series
2006,Shengavit,Gasoline,273000,38000,Mercedes-Benz,GL-Class
2019,Erebuni,Gasoline,36000,4800,Toyota,Highlander
2003,Erebuni,Gasoline,255000,16500,Opel,Signum hatchback
2017,Erebuni,Gasoline,126000,3900,Mazda,6
1998,Kentron,Gasoline,280000,1500,Opel,Astra
1989,Kentron,Gasoline,26000,4200,VAZ,(Lada) 2106
1999,Vanadzor,Gasoline,384000,17500,Opel,Astra wagon
2020,Vanadzor,Gasoline,17000,13500,Hyundai,Kona
2017,Arabkir,Gasoline,68000,3000,Nissan,Rogue
1997,Erebuni,Gasoline,285000,15600,Opel,Astra hatchback
2018,Malatia-Sebastia,Gasoline,55000,14000,Hyundai,Sonata
2023,Nor Nork,Gasoline,22000,6500,VAZ,(Lada) Niva Legend
2011,Kentron,Gasoline,292000,1000,Chevrolet,Cruze
2001,Armavir,Gasoline,200000,15000,GAZ,(ГАЗ) 3110 Volga
2019,Shengavit,Gasoline,28000,7700,Kia,Forte
2006,Masis,Gasoline,10000,2500,Mercedes-Benz,C-Class
2001,Gyumri,Gasoline,70000,4300,GAZ,(ГАЗ) 3110 Volga
1999,Gyumri,Gasoline,400000,10000,Opel,Astra wagon
2012,Malatia-Sebastia,Gasoline,200000,28000,Volkswagen,Jetta
2021,Armavir,Gasoline,20000,1500,Mitsubishi,Outlander
2008,Gavar,Gasoline,23000,8300,VAZ,(Lada) 2107
2008,Malatia-Sebastia,Gasoline,140000,20000,Nissan,Fuga
2017,Ajapnyak,Gasoline,60000,22500,Alfa,Romeo Giulia
2013,Aragatsavan,Gasoline,50000,3900,Lexus,RX
1992,Yeghegnadzor,Gasoline,150000,13000,Opel,Frontera
2012,Vanadzor,Gasoline,69500,23500,Toyota,Camry
2008,Vanadzor,Gasoline,220000,6000,Toyota,Land Cruiser Prado
1998,Gyumri,Gasoline,236000,14000,Mercedes-Benz,C-Class
2013,Kanaker-Zeytun,Gasoline,190000,11800,Mercedes-Benz,C-Class
2010,Gyumri,Gasoline,130000,42000,Toyota,Camry
2017,Vanadzor,Gasoline,75000,4200,Mercedes-Benz,E-Class
1997,Malatia-Sebastia,Gasoline,390000,7000,Mercedes-Benz,E-Class
2000,Gyumri,Gasoline,200000,10900,Opel,Frontera
2012,Malatia-Sebastia,Gasoline,112000,12000,Kia,K5
2008,Ajapnyak,Gasoline,170000,10800,Mercedes-Benz,C-Class
2018,Davtashen,Gasoline,55000,8200,Hyundai,Elantra
2007,Artashat,Gasoline,270000,1500,Ford,Edge
1997,Kapan,Gasoline,200000,3000,VAZ,(Lada) 21099
2010,Shengavit,Gasoline,200000,3000,VAZ,(Lada) 2114 hatchback
1999,Malatia-Sebastia,Gasoline,300000,17000,Opel,Astra
2017,Arabkir,Gasoline,17000,7100,BMW,3 Series
2009,Ajapnyak,Gasoline,177577,10900,Nissan,Tiida
2008,Arabkir,Gasoline,196000,3500,Nissan,X-Trail
2008,Dzoraghbyur,Gasoline,160000,18500,VAZ,(Lada) 2113 hatchback
2020,Vanadzor,Gasoline,110250,23500,Jeep,Compass
2021,Kanaker-Zeytun,Gasoline,52000,17000,Kia,K5
2002,Kentron,Gasoline,255000,16500,Toyota,Land Cruiser
2017,Erebuni,Gasoline,87000,5300,Mazda,6
1999,Aparan,Gasoline,213000,19000,Rover,75
2014,Sevan,Gasoline,155000,35000,Toyota,Avalon
2014,Nork-Marash,Gasoline,160000,6000,BMW,X5
1994,Talin,Gasoline,100000,3400,BMW,7 Series
1999,Dilijan,Gasoline,321000,4000,VAZ,(Lada) 2121 (4x4)
1999,Talin,Gasoline,234000,26000,Volkswagen,Golf hatchback
2017,Kentron,Gasoline,59000,12500,BMW,4 Series
2016,Nork-Marash,Gasoline,97400,11200,Hyundai,Elantra
2017,Nork-Marash,Gasoline,113000,43000,Nissan,Sentra
2020,Kentron,Gasoline,31000,18800,Honda,Pilot
2018,Echmiadzin,Gasoline,34000,14300,Nissan,Rogue
2016,Echmiadzin,Gasoline,130000,4800,Nissan,Rogue
2004,Malatia-Sebastia,Gasoline,195000,14500,Opel,Astra hatchback
2018,Shengavit,Gasoline,160000,41000,Chevrolet,Malibu
2021,Avan,Gasoline,19000,13300,Honda,Pilot
2020,Kentron,Gasoline,33000,11200,Kia,Optima
2016,Shengavit,Gasoline,137000,2400,Hyundai,Elantra
2001,Shengavit,Gasoline,200000,9500,Ford,Courier
2011,Khachaghbyur,Gasoline,128000,5000,Hyundai,Elantra
2001,Martuni,Gasoline,40000,2600,Opel,Zafira
1999,Shengavit,Gasoline,200000,9777,Renault,Kangoo
2012,Kentron,Gasoline,80000,7300,Ford,Fusion (North America)
2006,Ashtarak,Gasoline,140000,8800,Mercedes-Benz,B-Class hatchback
2000,Ashtarak,Gasoline,170000,12000,Mercedes-Benz,S-Class
2011,Berdashen,Gasoline,194255,8000,BMW,5 Series
2008,Gyumri,Gasoline,230000,2700,BMW,7 Series
1990,Gyumri,Gasoline,420000,29000,Mercedes-Benz,E-Class
2018,Nor Nork,Gasoline,118000,5100,Toyota,Camry
2007,Echmiadzin,Gasoline,127000,6800,Volkswagen,Jetta
2006,Erebuni,Gasoline,123456,25990,Mazda,CX-7
2016,Kanaker-Zeytun,Gasoline,100000,7000,Mercedes-Benz,C-Class
2005,Artashat,Gasoline,178000,26490,Kia,Sorento
2016,Kanaker-Zeytun,Gasoline,110000,7300,BMW,X1
2012,Davtashen,Gasoline,232000,18000,Kia,Forte
2016,Kentron,Gasoline,145000,13000,BMW,3 Series
2018,Abovian,Gasoline,110000,6500,Hyundai,Elantra
2006,Sevan,Gasoline,154000,14500,Nissan,Teana
2013,Ijevan,Gasoline,61100,6500,Hyundai,Tucson
2000,Ajapnyak,Gasoline,393000,2000,Opel,Zafira
2002,Shengavit,Gasoline,180000,24000,VAZ,(Lada) 2115
2007,Vanadzor,Gasoline,144000,16200,Lexus,GX
2019,Byureghavan,Gasoline,47000,6200,Kia,Forte
2005,Abovian,Gasoline,240000,9000,BMW,3 Series
2017,Arabkir,Gasoline,114000,9400,Ford,Focus wagon
2010,Byureghavan,Gasoline,210000,10200,Hyundai,Sonata
2004,Kapan,Gasoline,172000,5000,Lexus,RX
2007,Kapan,Diesel,140000,10000,UAZ,(УАЗ) Hunter
2012,Gyumri,Gasoline,209000,5000,Opel,Zafira
2006,Erebuni,Gasoline,290000,17000,Opel,Astra hatchback
2007,Arabkir,Gasoline,138000,30000,Mercedes-Benz,S-Class
2023,Gyumri,Gasoline,6000,16000,Chery,Tiggo 7 Pro
2011,Ajapnyak,Gasoline,179000,15500,Land,Rover Range Rover Sport
2018,Kentron,Gasoline,75000,50000,Kia,Optima
2017,Ajapnyak,Gasoline,140000,24500,BMW,7 Series
2013,Kentron,Gasoline,80000,10000,Lexus,RX
2014,Shengavit,Gasoline,130000,13700,Hyundai,Elantra
2017,Kentron,Gasoline,130000,18550,Chevrolet,Malibu
2013,Davtashen,Gasoline,173000,26000,Hyundai,Santa Fe
2020,Kentron,Gasoline,62000,2000,Nissan,Murano
1989,Abovian,Gasoline,232000,10500,Volkswagen,Passat wagon
2017,Kentron,Gasoline,84000,5500,Hyundai,Elantra
2001,Vanadzor,Gasoline,285000,19000,Opel,Zafira
2017,Kentron,Gasoline,120000,14500,Infiniti,Q50
2010,Noyemberyan,Diesel,193000,12000,Ford,Transit
2018,Malatia-Sebastia,Gasoline,67000,14500,Kia,Forte
2012,Kentron,Gasoline,80000,17500,Lexus,IS
2019,Metsamor,Gasoline,50000,3700,Ford,Fusion (North America)
1995,Abovian,Gasoline,305000,3500,Mercedes-Benz,C-Class
1964,Echmiadzin,Gasoline,76000,5200,Rolls-Royce,Phantom
2000,Spitak,Gasoline,191600,17000,Opel,Astra wagon
2011,Echmiadzin,Gasoline,118000,51000,Toyota,Highlander
2021,Davtashen,Electric,20532,21000,Tesla,Model Y
2020,Echmiadzin,Gasoline,60000,17000,Jeep,Compass
2007,Sayat-Nova,Gasoline,295000,26000,BMW,X5
2020,Nor Nork,Gasoline,39000,10500,Toyota,Camry
2018,Arabkir,Gasoline,75000,6900,Chevrolet,Cruze
2008,Kentron,Gasoline,220000,19400,Nissan,Qashqai
2016,Arabkir,Gasoline,61000,2700,Infiniti,QX30
1994,Malatia-Sebastia,Gasoline,139000,3000,Opel,Vectra
2001,Erebuni,Gasoline,299000,13700,VAZ,(Lada) 2121 (4x4)
2018,Avan,Gasoline,47000,13300,Kia,Forte
2007,Hrazdan,Gasoline,174000,12000,Mercedes-Benz,CLS-Class AMG
2001,Aparan,Diesel,200000,7500,Ford,Transit
2004,Echmiadzin,Gasoline,300000,20000,Ford,Transit Connect
2003,Echmiadzin,Gasoline,200000,23000,Lexus,GX
2022,Ararat,Gasoline,1200,14500,Toyota,Corolla
2019,Echmiadzin,Gasoline,50000,18500,Hyundai,Elantra
2017,Gyumri,Gasoline,60000,10000,Kia,Sorento
2010,Shengavit,Gasoline,250000,2800,Mazda,CX-9
2008,Erebuni,Gasoline,270000,21500,VAZ,(Lada) 2114 hatchback
2008,Erebuni,Gasoline,150000,15000,Land,Rover Range Rover Sport
2011,Kapan,Gasoline,140000,3000,Toyota,RAV4
1997,Nor Nork,Gasoline,300000,11000,Volkswagen,Vento
2017,Nor Nork,Gasoline,90000,15500,Kia,Forte
2016,Ajapnyak,Gasoline,161000,14500,Toyota,Camry
2012,Echmiadzin,Diesel,333000,5700,Ford,Transit
2002,Ijevan,Gasoline,290000,31000,Mercedes-Benz,C-Class
2022,Shengavit,Gasoline,6700,24200,Kia,Seltos
2023,Kentron,Hybrid,9500,5900,BYD,Song Pro
2014,Erebuni,Gasoline,68000,24500,Nissan,Micra hatchback
2021,Davtashen,Gasoline,21000,8500,Mazda,CX-5
2004,Malatia-Sebastia,Gasoline,225000,16000,BMW,X5
2020,Tsakhkadzor,Gasoline,56000,12700,Jeep,Renegade
2018,Kentron,Gasoline,52000,29500,Hyundai,Sonata
2022,Avan,Gasoline,9000,48500,Toyota,Camry
2016,Kentron,Gasoline,96000,3900,BMW,X5 M
1999,Arabkir,Gasoline,149000,4500,Volkswagen,Jetta
2004,Erebuni,Gasoline,330000,10500,Subaru,Legacy
2015,Kentron,Gasoline,99000,15800,Chevrolet,Trax
2018,Nor Nork,Gasoline,107000,16000,Kia,Optima
2016,Nor Nork,Gasoline,92000,14900,Mazda,6
2019,Nor Nork,Gasoline,130000,25500,Jeep,Cherokee
2011,Kentron,Gasoline,128000,14800,Lexus,RX
2020,Nor Nork,Gasoline,50000,18000,Nissan,Kicks
2017,Avan,Gasoline,42000,3900,Kia,Optima
2012,Avan,Gasoline,87000,20700,VAZ,(Lada) 2107
2021,Kentron,Gasoline,50000,4000,Hyundai,Elantra
2000,Spitak,Gasoline,200000,7500,Chrysler,Voyager
2000,Nor Nork,Gasoline,136000,4200,Toyota,RAV4
2000,Echmiadzin,Gasoline,250000,20000,Opel,Astra hatchback
2022,Ajapnyak,Gasoline,45000,85000,Kia,Rio X-Line hatchback
2018,Ajapnyak,Gasoline,38000,13500,Mercedes-Benz,S-Class
2019,Nor Nork,Gasoline,40000,2600,Kia,Forte
2001,Malatia-Sebastia,Gasoline,43000,70000,Ford,Focus
2016,Nork-Marash,Gasoline,90000,72000,Mercedes-Benz,S-Class coupe
2020,Kentron,Gasoline,54000,7100,BMW,X5
2006,Kanaker-Zeytun,Gasoline,155000,21900,Nissan,X-Trail
2021,Kanaker-Zeytun,Gasoline,61000,15500,Mazda,3
2017,Avan,Gasoline,120000,7500,Toyota,Corolla
2010,Kentron,Gasoline,138000,13300,Nissan,Tiida hatchback
2013,Erebuni,Gasoline,156000,7400,Mercedes-Benz,C-Class coupe
2012,Davtashen,Gasoline,190000,45000,Nissan,Altima
2022,Kentron,Gasoline,17000,12000,BMW,X3
2009,Kapan,Gasoline,144840,10000,Ford,Econoline
2007,Kapan,Gasoline,245000,19700,Volvo,XC90
2015,Nork-Marash,Gasoline,157000,5200,Toyota,Avalon
2005,Nork-Marash,Gasoline,180000,8500,Nissan,Tiida
2011,Malatia-Sebastia,Gasoline,220000,15800,Mazda,6
2018,Masis,Hybrid,77000,15000,Ford,Fusion (North America)
2017,Shengavit,Gasoline,70000,16990,Nissan,Rogue
2017,Erebuni,Gasoline,73000,4000,Volkswagen,Passat
1987,Erebuni,Gasoline,208000,3300,VAZ,(Lada) 2106
1997,Kanaker-Zeytun,Gasoline,192000,23000,Mercedes-Benz,C-Class
2021,Kentron,Gasoline,23000,10000,Mazda,CX-30
2008,Vanadzor,Gasoline,170000,27500,BMW,5 Series
2022,Kanaker-Zeytun,Gasoline,11000,5300,Mazda,CX-5
2002,Sevan,Gasoline,193000,10300,Mitsubishi,Airtrek
2003,Martuni,Diesel,260000,118500,Ford,Transit
2021,Kentron,Gasoline,50000,8500,Mercedes-Benz,GLE Coupe AMG
2005,Kanaker-Zeytun,Gasoline,260000,16500,Mercedes-Benz,CLS-Class
2019,Kanakeravan,Gasoline,53000,6700,Hyundai,Elantra
2010,Kanakeravan,Gasoline,200000,7700,Kia,Forte coupe
2015,Stepanavan,Gasoline,50000,2000,VAZ,(Lada) 2121 (4x4)
2006,Yeghegnadzor,Gasoline,190890,5000,VAZ,(Lada) 2114 hatchback
2009,Armavir,Gasoline,322000,37000,Volkswagen,Passat wagon
2021,Kentron,Hybrid,25000,12500,Toyota,Venza
2018,Avan,Gasoline,59000,2500,Hyundai,Elantra
1994,Armavir,Gasoline,179000,12500,Opel,Vectra
2018,Shengavit,Gasoline,58000,4000,Hyundai,Elantra
2003,Shengavit,Diesel,290000,19650,Opel,Zafira
2018,Shengavit,Gasoline,78000,21900,Honda,Accord
